,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
181,Guinea,0.465,0.299,35.6989247311828,-4.0,34.33844766000001,35.05346298,0.3886021087829606,50.12411,0.17245764663314878,17.83777,0.39854462861284784,21.6,23.1,12.53,29.6,Low,58.8922,9.805297465,2.202125952,2480.887182,-13.0,182.0,13.05,2746.0,0.0
134,Guatemala,0.627,0.46,26.6347687400319,-3.0,26.126513556666666,13.86461067,0.6524662980558991,34.95493,0.31402333512277625,29.56,0.47547336257781425,13.1,38.1,20.75,48.3,Medium,69.2368,10.56245041,5.681300163,8723.285317,-20.0,133.0,36.39,2551.0,0.0
68,Grenada,0.795,-99.9,-99.9,-99.9,-99.9,9.633924484,0.7637490458095506,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,High,74.9362,18.66202035,9.032104,13483.5774,18.0,70.0,59.4,2402.0,0.0
187,Central African Republic,0.404,0.24,40.5940594059406,-3.0,40.13981347666667,36.02700043,0.3335916351577352,35.19785,0.23834539865455143,49.19459,0.1740606576910804,10.3,46.2,31.0,56.2,Low,53.8947,8.040171714,4.334,966.0586107,1.0,188.0,35.9,1786.0,0.0
189,Chad,0.394,0.251,36.29441624365482,1.0,35.99797977666667,38.55884933,0.3074458464618489,42.9329,0.17634436754255572,26.50219,0.2901167234547618,18.2,29.7,15.71,37.5,Low,52.5254,8.035914334,2.57377421,1364.169417,-7.0,190.0,26.48,2115.0,0.0
91,Azerbaijan,0.745,0.685,8.053691275167774,14.0,7.915732963333333,11.32313728,0.67347757994815,3.56506161,0.7004512562548936,8.859,0.682836129067915,-99.9,-99.9,14.31,-99.9,High,69.3658,13.49689007,10.5429697,14256.74456,-8.0,100.0,34.08,3149.0,0.0
111,Gabon,0.706,0.554,21.52974504249291,-3.0,21.463307383333333,19.69610405,0.5660930486653769,23.47992,0.5165213803446667,21.2138981,0.5826024017988577,16.8,27.7,11.02,38.0,High,65.821,12.97731,9.436,13366.93455,-25.0,113.0,59.21,2633.0,0.0
176,Guinea-Bissau,0.483,0.306,36.64596273291926,-5.0,36.50182102666667,29.51842308,0.4299625588469101,42.08704,0.2399128917704213,37.9,0.27661091081621525,19.4,27.6,17.08,34.8,Low,59.6523,10.61306278,3.583719,1908.24159,0.0,177.0,17.29,2229.0,0.0
11,Singapore,0.939,0.817,12.992545260915866,-15.0,12.409716635999999,2.261428118,0.9436208014106104,10.00732115,0.7707917098910336,24.96040064,0.7503959936,-99.9,-99.9,14.21,-99.9,Very high,82.7545,16.5243206,11.92488003,90918.64471,-10.0,10.0,71.1,-99.9,1.0
64,Serbia,0.802,0.72,10.224438902743149,5.0,9.933117503333333,4.10859251,0.7994732187877427,7.19484,0.7229505065211532,18.49592,0.6467903067101504,18.9,26.0,10.85,34.5,Very high,74.1923,14.40009022,11.36987019,19123.02747,4.0,62.0,53.49,2828.0,1.0
116,Botswana,0.693,-99.9,-99.9,-99.9,-99.9,21.56492996,0.4964445189244055,23.27683,0.5258337039873195,-99.9,-99.9,10.9,41.5,22.74,53.3,Medium,61.1409,12.26513765,10.34,16198.31841,-43.0,110.0,24.44,2342.0,1.0
71,Seychelles,0.785,0.661,15.796178343949041,-7.0,15.149497853666666,9.446657181,0.7145982220352609,6.65648,0.6814428123507991,29.34535638,0.5927822349625648,19.6,23.9,20.56,32.1,High,71.2945,13.94161034,10.28312,25830.61775,-17.0,69.0,35.6,-99.9,1.0
